Phase_Min,Phase_Max,GT100_WtCounts,Unc_GT100_WtCounts
0.0000000,0.0200000,20.659999847,2.155299902
0.0200000,0.0400000,20.016500473,2.087699890
0.0400000,0.0600000,23.424800873,2.386499882
0.0600000,0.0800000,21.173700333,2.296000004
0.0800000,0.1000000,28.822900772,2.823800087
0.1000000,0.1200000,28.541000366,2.736099958
0.1200000,0.1400000,33.335800171,3.038800001
0.1400000,0.1600000,40.377498627,3.313100100
0.1600000,0.1800000,45.978698730,3.718899965
0.1800000,0.2000000,57.683898926,4.294600010
0.2000000,0.2200000,58.447799683,4.173399925
0.2200000,0.2400000,59.855201721,4.208199978
0.2400000,0.2600000,62.300300598,4.394299984
0.2600000,0.2800000,61.540699005,4.361700058
0.2800000,0.3000000,56.864299774,4.079500198
0.3000000,0.3200000,47.245399475,3.475199938
0.3200000,0.3400000,40.597599030,3.395900011
0.3400000,0.3600000,28.264999390,2.674400091
0.3600000,0.3800000,30.168800354,2.697000027
0.3800000,0.4000000,24.225000381,2.386300087
0.4000000,0.4200000,29.368799210,2.724299908
0.4200000,0.4400000,24.606100082,2.378400087
0.4400000,0.4600000,24.405099869,2.391299963
0.4600000,0.4800000,23.129100800,2.322999954
0.4800000,0.5000000,22.223400116,2.260400057
0.5000000,0.5200000,20.869699478,2.186700106
0.5200000,0.5400000,24.040399551,2.380899906
0.5400000,0.5600000,26.248100281,2.538899899
0.5600000,0.5800000,23.273500443,2.459700108
0.5800000,0.6000000,23.670900345,2.428900003
0.6000000,0.6200000,25.306699753,2.397000074
0.6200000,0.6400000,21.509599686,2.147599936
0.6400000,0.6600000,23.481899261,2.331399918
0.6600000,0.6800000,22.578599930,2.250400066
0.6800000,0.7000000,22.502500534,2.335599899
0.7000000,0.7200000,21.995199203,2.333400011
0.7200000,0.7400000,28.238500595,2.579900026
0.7400000,0.7600000,19.621400833,2.055700064
0.7600000,0.7800000,18.702899933,2.012500048
0.7800000,0.8000000,21.238300323,2.111700058
0.8000000,0.8200000,24.159200668,2.225500107
0.8200000,0.8400000,20.548700333,2.170099974
0.8400000,0.8600000,27.149099350,2.558599949
0.8600000,0.8800000,19.788999557,2.125200033
0.8800000,0.9000000,23.601499557,2.428100109
0.9000000,0.9200000,20.495399475,2.119400024
0.9200000,0.9400000,21.985399246,2.316200018
0.9400000,0.9600000,23.967699051,2.328999996
0.9600000,0.9800000,22.980699539,2.285099983
0.9800000,1.0000000,22.617200851,2.323100090
